code,mode,type,topic,topic_name,prompt,difficulty,status,instruction,prep_seconds,answer_seconds,replay_limit,source_name,license
GENERAL_DAILY_ROUTINE_A_001,GENERAL,GENERAL_OPEN_TOPIC,daily-routine,Daily Routine,How can routines support a person during a busy period?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_A_002,GENERAL,GENERAL_SITUATIONAL,daily-routine,Daily Routine,You are advising someone who feels overwhelmed by daily tasks. What would you suggest?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_B_001,GENERAL,GENERAL_OPEN_TOPIC,family-and-friends,Family & Friends,Who do you spend the most time with?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_B_002,GENERAL,GENERAL_SITUATIONAL,family-and-friends,Family & Friends,A friend is visiting your home for the first time. Introduce the people who live with you.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_B_003,GENERAL,GENERAL_OPEN_TOPIC,family-and-friends,Family & Friends,What do you enjoy doing with your friends?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_B_004,GENERAL,GENERAL_SITUATIONAL,family-and-friends,Family & Friends,Your friend has good news. Respond and ask a friendly question.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_B_005,GENERAL,GENERAL_OPEN_TOPIC,family-and-friends,Family & Friends,Describe a person in your family who makes you laugh.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_I_001,GENERAL,GENERAL_OPEN_TOPIC,family-and-friends,Family & Friends,What qualities do you value in a close friend?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_I_002,GENERAL,GENERAL_SITUATIONAL,family-and-friends,Family & Friends,You cannot attend a family event. Explain this politely and suggest another time to meet.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_I_003,GENERAL,GENERAL_OPEN_TOPIC,family-and-friends,Family & Friends,How do you stay in touch with people who live far away?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_I_004,GENERAL,GENERAL_SITUATIONAL,family-and-friends,Family & Friends,Your friend seems quiet today. Start a caring conversation.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_I_005,GENERAL,GENERAL_OPEN_TOPIC,family-and-friends,Family & Friends,What is a memorable activity you shared with someone close to you?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_A_001,GENERAL,GENERAL_OPEN_TOPIC,family-and-friends,Family & Friends,How can friendships change when people enter new stages of life?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FAMILY_FRIENDS_A_002,GENERAL,GENERAL_SITUATIONAL,family-and-friends,Family & Friends,Two friends have misunderstood each other. Suggest a respectful way to help them talk.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_B_001,GENERAL,GENERAL_OPEN_TOPIC,food-and-cooking,Food & Cooking,What food do you enjoy eating most often?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_B_002,GENERAL,GENERAL_SITUATIONAL,food-and-cooking,Food & Cooking,You are ordering lunch at a cafe. Say what you would like and ask one question about it.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_B_003,GENERAL,GENERAL_OPEN_TOPIC,food-and-cooking,Food & Cooking,Can you cook a simple meal? Describe it.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_B_004,GENERAL,GENERAL_SITUATIONAL,food-and-cooking,Food & Cooking,Your guest cannot eat a certain food. Offer a different meal.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_B_005,GENERAL,GENERAL_OPEN_TOPIC,food-and-cooking,Food & Cooking,What do you usually drink with a meal?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_I_001,GENERAL,GENERAL_OPEN_TOPIC,food-and-cooking,Food & Cooking,What meal do you like to prepare for other people?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_I_002,GENERAL,GENERAL_SITUATIONAL,food-and-cooking,Food & Cooking,You are explaining a recipe to a classmate. Give the main steps.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_I_003,GENERAL,GENERAL_OPEN_TOPIC,food-and-cooking,Food & Cooking,How do your food choices change when you are busy?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_I_004,GENERAL,GENERAL_SITUATIONAL,food-and-cooking,Food & Cooking,A restaurant gave you the wrong dish. Explain the problem politely.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_I_005,GENERAL,GENERAL_OPEN_TOPIC,food-and-cooking,Food & Cooking,What food from your culture would you like a visitor to try?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_A_001,GENERAL,GENERAL_OPEN_TOPIC,food-and-cooking,Food & Cooking,How can cooking at home affect a person's health and budget?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_FOOD_COOKING_A_002,GENERAL,GENERAL_SITUATIONAL,food-and-cooking,Food & Cooking,You are planning a shared meal for people with different preferences. Explain your choices.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_B_001,GENERAL,GENERAL_OPEN_TOPIC,shopping,Shopping,What do you usually buy when you go shopping?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_B_002,GENERAL,GENERAL_SITUATIONAL,shopping,Shopping,You cannot find your size in a shop. Ask a staff member for help.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_B_003,GENERAL,GENERAL_OPEN_TOPIC,shopping,Shopping,Do you prefer shopping online or in stores?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_B_004,GENERAL,GENERAL_SITUATIONAL,shopping,Shopping,You want to buy a birthday gift. Ask a friend for an idea.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_B_005,GENERAL,GENERAL_OPEN_TOPIC,shopping,Shopping,What is something useful you bought recently?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_I_001,GENERAL,GENERAL_OPEN_TOPIC,shopping,Shopping,What helps you decide whether something is worth buying?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_I_002,GENERAL,GENERAL_SITUATIONAL,shopping,Shopping,You received a damaged item. Describe the issue and request a solution.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_I_003,GENERAL,GENERAL_OPEN_TOPIC,shopping,Shopping,How do sales and special offers influence your choices?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_I_004,GENERAL,GENERAL_SITUATIONAL,shopping,Shopping,You are comparing two similar products for a friend. Explain which one you recommend.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_I_005,GENERAL,GENERAL_OPEN_TOPIC,shopping,Shopping,What is one way you avoid unnecessary spending?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_A_001,GENERAL,GENERAL_OPEN_TOPIC,shopping,Shopping,How has online shopping changed what people expect from stores?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_SHOPPING_A_002,GENERAL,GENERAL_SITUATIONAL,shopping,Shopping,You are explaining a return policy to a customer. Make it clear and helpful.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_B_001,GENERAL,GENERAL_OPEN_TOPIC,travel,Travel,Where would you like to travel one day?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_B_002,GENERAL,GENERAL_SITUATIONAL,travel,Travel,You arrive at a hotel and want to check in. Start the conversation.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_B_003,GENERAL,GENERAL_OPEN_TOPIC,travel,Travel,What do you like to take when you travel?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_B_004,GENERAL,GENERAL_SITUATIONAL,travel,Travel,You are asking for directions to a famous place. What do you say?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_B_005,GENERAL,GENERAL_OPEN_TOPIC,travel,Travel,Describe a trip you enjoyed.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_I_001,GENERAL,GENERAL_OPEN_TOPIC,travel,Travel,What makes a trip relaxing or enjoyable for you?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_I_002,GENERAL,GENERAL_SITUATIONAL,travel,Travel,Your flight has been delayed. Ask the airline desk for useful information.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_I_003,GENERAL,GENERAL_OPEN_TOPIC,travel,Travel,How do you learn about a place before you visit it?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_I_004,GENERAL,GENERAL_SITUATIONAL,travel,Travel,You are recommending a day trip to a visitor. Describe the plan.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_I_005,GENERAL,GENERAL_OPEN_TOPIC,travel,Travel,What can a traveler learn from a new place?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_A_001,GENERAL,GENERAL_OPEN_TOPIC,travel,Travel,How can travelers show respect for the communities they visit?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRAVEL_A_002,GENERAL,GENERAL_SITUATIONAL,travel,Travel,You are helping a visitor whose plans changed suddenly. Suggest practical options.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_B_001,GENERAL,GENERAL_OPEN_TOPIC,transportation,Transportation,How do you usually travel around your town or city?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_B_002,GENERAL,GENERAL_SITUATIONAL,transportation,Transportation,You need to buy a bus ticket. Ask for the correct ticket.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_B_003,GENERAL,GENERAL_OPEN_TOPIC,transportation,Transportation,What kind of transport do you enjoy using?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_B_004,GENERAL,GENERAL_SITUATIONAL,transportation,Transportation,You are waiting for someone who is late because of traffic. Reply to their message.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_B_005,GENERAL,GENERAL_OPEN_TOPIC,transportation,Transportation,Is there a place you can walk to from your home?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_I_001,GENERAL,GENERAL_OPEN_TOPIC,transportation,Transportation,What problems do people face when they commute?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_I_002,GENERAL,GENERAL_SITUATIONAL,transportation,Transportation,You are giving a visitor directions using public transport. Explain each step.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_I_003,GENERAL,GENERAL_OPEN_TOPIC,transportation,Transportation,How could your local transport system be improved?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_I_004,GENERAL,GENERAL_SITUATIONAL,transportation,Transportation,You left something on a train. Describe it when you call the lost property office.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_I_005,GENERAL,GENERAL_OPEN_TOPIC,transportation,Transportation,When is cycling a good choice for a journey?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_A_001,GENERAL,GENERAL_OPEN_TOPIC,transportation,Transportation,How might better transport change daily life in a neighborhood?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_TRANSPORTATION_A_002,GENERAL,GENERAL_SITUATIONAL,transportation,Transportation,You are proposing a safer route to school or work. Explain your reasons.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_B_001,GENERAL,GENERAL_OPEN_TOPIC,work,Work,What kind of work would you like to do?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_B_002,GENERAL,GENERAL_SITUATIONAL,work,Work,You are meeting a new coworker. Introduce yourself and your role.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_B_003,GENERAL,GENERAL_OPEN_TOPIC,work,Work,What makes a workplace comfortable?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_B_004,GENERAL,GENERAL_SITUATIONAL,work,Work,You need help with a task at work. Ask a colleague politely.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_B_005,GENERAL,GENERAL_OPEN_TOPIC,work,Work,What skills are useful in many jobs?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_I_001,GENERAL,GENERAL_OPEN_TOPIC,work,Work,What helps a team work well together?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_I_002,GENERAL,GENERAL_SITUATIONAL,work,Work,You need to give a short update about your task. Explain your progress and next step.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_I_003,GENERAL,GENERAL_OPEN_TOPIC,work,Work,How do you stay focused during a busy workday?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_I_004,GENERAL,GENERAL_SITUATIONAL,work,Work,You made a small mistake at work. Explain it honestly and offer a solution.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_I_005,GENERAL,GENERAL_OPEN_TOPIC,work,Work,What would make you feel proud of your work?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_A_001,GENERAL,GENERAL_OPEN_TOPIC,work,Work,How can a workplace support learning and growth for employees?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_WORK_A_002,GENERAL,GENERAL_SITUATIONAL,work,Work,You are suggesting a change that could improve your team's workflow. Present your idea.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_B_001,GENERAL,GENERAL_OPEN_TOPIC,study,Study,What subject do you like learning about?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_B_002,GENERAL,GENERAL_SITUATIONAL,study,Study,You do not understand a lesson. Ask your teacher for help.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_B_003,GENERAL,GENERAL_OPEN_TOPIC,study,Study,Where do you like to study?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_B_004,GENERAL,GENERAL_SITUATIONAL,study,Study,You are inviting a classmate to study together. What do you say?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_B_005,GENERAL,GENERAL_OPEN_TOPIC,study,Study,What do you do to remember new words?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_I_001,GENERAL,GENERAL_OPEN_TOPIC,study,Study,What study method works best for you and why?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_I_002,GENERAL,GENERAL_SITUATIONAL,study,Study,You want more time for an assignment. Make a polite request to your teacher.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_I_003,GENERAL,GENERAL_OPEN_TOPIC,study,Study,How do you manage distractions when you study?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_I_004,GENERAL,GENERAL_SITUATIONAL,study,Study,Your classmate missed a lesson. Explain the important points to them.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_I_005,GENERAL,GENERAL_OPEN_TOPIC,study,Study,What makes a class interesting for learners?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_A_001,GENERAL,GENERAL_OPEN_TOPIC,study,Study,How can students balance independent study with asking for support?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_STUDY_A_002,GENERAL,GENERAL_SITUATIONAL,study,Study,You are proposing a study group plan for classmates with different schedules. Explain it.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_B_001,GENERAL,GENERAL_OPEN_TOPIC,hobbies,Hobbies,What hobby do you enjoy in your free time?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_B_002,GENERAL,GENERAL_SITUATIONAL,hobbies,Hobbies,You are telling someone about a hobby class you joined. Describe it.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_B_003,GENERAL,GENERAL_OPEN_TOPIC,hobbies,Hobbies,What hobby would you like to try?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_B_004,GENERAL,GENERAL_SITUATIONAL,hobbies,Hobbies,Your friend wants to start your hobby. Give them simple advice.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_B_005,GENERAL,GENERAL_OPEN_TOPIC,hobbies,Hobbies,Do you prefer hobbies you do alone or with others?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_I_001,GENERAL,GENERAL_OPEN_TOPIC,hobbies,Hobbies,What has a hobby taught you about yourself?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_I_002,GENERAL,GENERAL_SITUATIONAL,hobbies,Hobbies,You are inviting a friend to a weekend activity. Explain why they might enjoy it.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_I_003,GENERAL,GENERAL_OPEN_TOPIC,hobbies,Hobbies,How do you make time for hobbies when life is busy?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_I_004,GENERAL,GENERAL_SITUATIONAL,hobbies,Hobbies,You are describing a local club to a newcomer. Share the useful details.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_I_005,GENERAL,GENERAL_OPEN_TOPIC,hobbies,Hobbies,Why do people sometimes stop doing hobbies they once loved?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_A_001,GENERAL,GENERAL_OPEN_TOPIC,hobbies,Hobbies,How can shared hobbies help people build a sense of community?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_HOBBIES_A_002,GENERAL,GENERAL_SITUATIONAL,hobbies,Hobbies,You are organizing an activity for people with different interests. Explain how you would include everyone.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_B_001,GENERAL,GENERAL_OPEN_TOPIC,movies-and-music,Movies & Music,What kind of music do you like listening to?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_B_002,GENERAL,GENERAL_SITUATIONAL,movies-and-music,Movies & Music,You are choosing a film with a friend. Say what kind of film you want to watch.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_B_003,GENERAL,GENERAL_OPEN_TOPIC,movies-and-music,Movies & Music,Do you prefer watching films at home or at a cinema?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_B_004,GENERAL,GENERAL_SITUATIONAL,movies-and-music,Movies & Music,A friend asks for a song recommendation. Recommend one without naming lyrics.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_B_005,GENERAL,GENERAL_OPEN_TOPIC,movies-and-music,Movies & Music,What film have you watched more than once?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_I_001,GENERAL,GENERAL_OPEN_TOPIC,movies-and-music,Movies & Music,How does music affect your mood or energy?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_I_002,GENERAL,GENERAL_SITUATIONAL,movies-and-music,Movies & Music,You are inviting a friend to a movie night. Describe the plan and ask them to join.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_I_003,GENERAL,GENERAL_OPEN_TOPIC,movies-and-music,Movies & Music,What makes a movie memorable for you?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_I_004,GENERAL,GENERAL_SITUATIONAL,movies-and-music,Movies & Music,You are giving a short review of a film to a friend. Share your opinion and reason.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_I_005,GENERAL,GENERAL_OPEN_TOPIC,movies-and-music,Movies & Music,How do you discover new music or films?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_A_001,GENERAL,GENERAL_OPEN_TOPIC,movies-and-music,Movies & Music,Why can stories in films or songs be meaningful to people from different backgrounds?,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_MOVIES_MUSIC_A_002,GENERAL,GENERAL_SITUATIONAL,movies-and-music,Movies & Music,You are suggesting entertainment for a mixed-age group. Explain how you made your choice.,ADVANCED,DRAFT,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
